com.samsung.shealth.rewards,6123001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
0,2019-02-10 00:00:00.000,,,,2019-02-25 20:37:31.277,2019-02-25 20:37:31.277,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-10 00:00:00.000,fc53e9e2-277d-4979-b898-4b3036561c55,1,
,2019-03-12 12:46:40.700,,,,2019-03-14 16:35:00.723,2019-03-12 12:46:40.764,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":89,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-03-12 12:46:40.700,2b7515d5-17d3-4a23-814f-1c0ea40bd368,0,
0,2019-02-01 00:00:00.000,,,,2019-02-25 20:37:31.128,2019-02-25 20:37:31.128,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-01 00:00:00.000,9533c8a9-68e6-4e01-b7a9-849af1c9813b,1,
0,2019-02-16 00:00:00.000,,,,2019-02-25 20:37:31.398,2019-02-25 20:37:31.398,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-16 00:00:00.000,f400ce28-2a6d-4cc4-80db-91399a0e2bdb,1,
,2019-07-01 07:30:29.107,,,,2019-07-02 05:54:51.522,2019-07-01 07:30:29.173,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":true,""mValue"":171,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-07-01 07:30:29.107,358b380f-6e77-4e9d-b2cc-7d8b534f774f,0,
,2019-03-28 12:32:34.997,,,,2019-04-01 15:30:37.400,2019-03-28 12:32:35.078,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":91,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-03-28 12:32:34.997,e11684c9-edc2-4ba5-8f6b-d8e8d8653d6d,0,
0,2019-02-22 00:00:00.000,,,,2019-02-25 20:37:31.523,2019-02-25 20:37:31.523,,,goal_nutrition_goal_achieved,UTC+0300,"2644.0,2644.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-22 00:00:00.000,1f78c647-e2e5-4a99-abd8-bd4713c8dea4,1,
,2019-03-04 12:35:00.975,,,,2019-03-05 12:28:00.363,2019-03-04 12:35:01.074,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":62,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-03-04 12:35:00.975,7e6dbc42-fbfd-45fa-b0ba-51a06490f3b2,0,
0,2019-02-08 00:00:00.000,,,,2019-02-25 20:37:31.233,2019-02-25 20:37:31.233,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-08 00:00:00.000,09e04525-1366-4800-aaec-145faf06d14a,1,
,2019-04-29 18:54:12.390,,,,2019-05-01 17:42:00.226,2019-04-29 18:54:12.492,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":70,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-04-29 18:54:12.390,a8c44f7c-20c1-4df0-b1e0-003ece735f41,0,
,2019-05-30 16:10:07.135,,,,2019-06-02 10:00:28.022,2019-05-30 16:10:07.281,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":76,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-05-30 16:10:07.135,1d36267d-8547-40ca-b986-ea182cc7e698,0,
,2019-03-14 16:35:00.674,,,,2019-03-18 15:52:23.940,2019-03-14 16:35:00.762,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-03-14 16:35:00.674,d9fe3b82-088e-4844-9338-5694d4079c12,0,
,2019-07-06 05:29:54.496,,,,2019-07-07 03:55:07.502,2019-07-06 05:29:54.578,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":265,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-07-06 05:29:54.496,fe364e1f-56e1-4f37-bf22-00e3517843a4,0,
,2019-06-10 18:14:32.690,,,,2019-06-12 10:54:58.727,2019-06-10 16:04:04.168,,,goal_activity_reward_most_active_day,UTC+0400,"{""mIsCompleted"":false,""mValue"":127,""mValue2"":0}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-06-10 16:04:03.992,1d9c665b-d33e-44e6-bbd7-05e6a3cd43c4,0,
,2019-04-01 15:30:37.336,,,,2019-04-04 11:54:59.011,2019-04-01 15:30:37.426,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":70,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-04-01 15:30:37.336,7fb5aff9-5677-4357-938d-f69f8068c8ec,0,
,2019-07-25 14:35:17.672,,,,2019-07-26 13:14:58.560,2019-07-25 14:35:17.721,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":60,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-07-25 14:35:17.672,b6b00916-fae1-4b62-85b5-b9068b51f7bc,0,
,2019-08-19 17:14:38.007,,,,2019-08-24 09:31:08.580,2019-08-19 17:14:38.097,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":68,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-08-19 17:14:38.007,48415a2a-8f87-4b31-83bb-e3c631ce919a,0,
,2019-05-01 17:42:00.183,,,,2019-05-03 18:38:06.479,2019-05-01 17:42:00.243,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-05-01 17:42:00.183,5435c4c2-2b91-4adc-a4e4-0a657358325d,0,
0,2019-02-14 00:00:00.000,,,,2019-02-25 20:37:31.360,2019-02-25 20:37:31.360,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-14 00:00:00.000,40ee6605-82ea-4d5e-ae8f-a0cf72d84c90,1,
,2019-09-05 12:24:44.446,,,,2019-09-08 11:19:00.213,2019-09-05 12:24:44.459,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":85,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-09-05 12:24:44.446,e7613ca0-3fc9-4899-af0e-4a98210cf879,0,
,2019-06-02 10:00:27.988,,,,2019-06-04 17:54:56.473,2019-06-02 10:00:28.032,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":75,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-06-02 10:00:27.988,08d04710-4653-4cff-bd59-53a4160e8eb5,0,
,2019-06-14 03:29:32.544,,,,2019-06-15 07:55:00.549,2019-06-14 03:29:32.655,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":217,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-06-14 03:29:32.544,6d3d2084-4b88-4733-97e7-62a897d6ab13,0,
0,2019-02-20 00:00:00.000,,,,2019-02-25 20:37:31.483,2019-02-25 20:37:31.483,,,goal_nutrition_goal_achieved,UTC+0300,"2644.0,2644.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-20 00:00:00.000,2af4e619-95d5-4bc8-b243-b721bab9d062,1,
,2019-09-15 13:19:00.513,,,,2019-09-16 19:14:58.645,2019-09-15 13:19:00.578,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":82,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-09-15 13:19:00.513,9d34aab1-4085-4309-9e20-19a716574942,0,
