com.samsung.health.nutrition,6123001,2
potassium,vitamin_a,vitamin_c,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
0.0,0.0,0.0,0.0,2019-02-14 11:00:00.000,,0.0,0.0,0.0,2019-02-14 11:00:16.810,2019-02-14 11:00:16.810,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,49e67051-07e4-46d1-9a78-db5def95c385,
0.0,0.0,0.0,0.0,2019-02-16 06:00:00.000,,0.0,0.0,0.0,2019-02-16 06:03:00.707,2019-02-16 06:03:00.707,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,041e1eff-2600-408e-83bb-a40edecc570d,
0.0,0.0,0.0,0.0,2019-02-23 16:00:00.000,,0.0,0.0,0.0,2019-02-23 16:00:39.748,2019-02-23 16:00:39.748,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,22a88610-ba92-46a7-9e43-0f4abe03b814,
0.0,0.0,0.0,0.0,2019-02-25 16:00:00.000,,0.0,0.0,0.0,2019-02-25 16:02:54.392,2019-02-25 16:02:54.392,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,889.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,fcd45671-9516-4ea6-8246-380bedb4482b,
0.0,0.0,0.0,0.0,2019-02-16 11:00:00.000,,0.0,0.0,0.0,2019-02-16 11:02:12.887,2019-02-16 11:02:12.887,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,d0a45ab9-663d-414d-a84e-f2e1c1314e88,
0.0,0.0,0.0,0.0,2019-02-25 06:00:00.000,,0.0,0.0,0.0,2019-02-25 06:01:01.471,2019-02-25 06:01:01.471,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,889.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,58e5d6f5-42ec-48a0-89d1-26f2141e2a01,
0.0,0.0,0.0,0.0,2019-02-17 11:00:00.000,,0.0,0.0,0.0,2019-02-17 11:01:58.535,2019-02-17 11:01:58.535,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,c9581b13-2513-4bfb-9ca3-0ef3641a2c1d,
0.0,0.0,0.0,0.0,2019-02-02 16:00:00.000,,0.0,0.0,0.0,2019-02-02 16:00:30.661,2019-02-02 16:00:30.661,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,0f511f88-c2ae-4f40-bab8-4ad695e7a2c4,
0.0,0.0,0.0,0.0,2019-02-27 11:00:00.000,,0.0,0.0,0.0,2019-02-27 11:00:26.615,2019-02-27 11:00:26.615,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,846.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,f7cc047d-aaa0-4c74-b7b2-35f9853da29c,
0.0,0.0,0.0,0.0,2019-02-18 06:00:00.000,,0.0,0.0,0.0,2019-02-18 06:00:35.949,2019-02-18 06:00:35.949,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,882.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,7118d664-1ef2-4d2e-bb7a-529b0e60d5c1,
