com.samsung.shealth.exercise,6123001,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,703515,,,,2019-09-10 13:38:00.000,1001,,,,,,,,,2019-09-10 13:51:45.899,2019-09-10 13:51:45.899,,1.4882046,,,,908.95,,36.2,,,,UTC+0300,lv82WtQZxZ,,,d8a3fda6-3d72-46b4-93b4-83ae2e102dba.com.samsung.health.exercise.live_data.json,,1.2920122,com.sec.android.app.shealth,,,,2019-09-10 13:49:43.000,d8a3fda6-3d72-46b4-93b4-83ae2e102dba,
,,,,1,,,,4,0,0,,,,,,,,,748091,,,,2019-07-04 07:56:00.000,1001,,,,,,,,,2019-10-11 22:21:34.295,2019-07-04 08:09:30.616,,1.8611112,,,,988.42,,39.04,,,,UTC+0900,lv82WtQZxZ,,,e9371f92-2197-4ad1-aff8-47583c14d95b.com.samsung.health.exercise.live_data.json,,1.3212563,com.sec.android.app.shealth,,,,2019-07-04 08:08:28.000,e9371f92-2197-4ad1-aff8-47583c14d95b,
,,,,1,,,,4,0,0,,,,,,,,,722366,,,,2019-07-06 10:14:00.000,1001,,,,,,,,,2019-07-06 10:27:12.947,2019-07-06 10:27:12.947,,1.5277778,,,,954.66003,,37.49,,,,UTC+0900,lv82WtQZxZ,,,9cd4bbff-2614-451e-b9f2-96023aad7797.com.samsung.health.exercise.live_data.json,,1.3215737,com.sec.android.app.shealth,,,,2019-07-06 10:26:02.000,9cd4bbff-2614-451e-b9f2-96023aad7797,
,,,,1,,,,4,0,0,,,,,,,,,1017247,,,,2019-09-12 06:46:00.000,1001,,,,,,,,,2019-09-12 07:47:56.518,2019-09-12 07:47:56.518,,1.8055556,,,,1305.28,,51.239998,,,,UTC+0300,lv82WtQZxZ,,,00a6ec58-2d1d-41c6-b91e-8183fc088b37.com.samsung.health.exercise.live_data.json,,1.2831494,com.sec.android.app.shealth,,,,2019-09-12 07:02:57.000,00a6ec58-2d1d-41c6-b91e-8183fc088b37,
,,,,1,,,,4,0,0,,,,,,,,,783002,,,,2019-07-02 05:23:00.000,1001,,,,,,,,,2019-07-02 05:37:23.839,2019-07-02 05:37:23.839,,2.0,,,,971.46,,38.11,,,,UTC+0900,lv82WtQZxZ,,,820c04fb-1acc-4e58-a1fa-c3e88827193a.com.samsung.health.exercise.live_data.json,,1.2406864,com.sec.android.app.shealth,,,,2019-07-02 05:36:03.000,820c04fb-1acc-4e58-a1fa-c3e88827193a,
,,,,1,,,,4,0,0,,,,,,,,,702408,,,,2019-08-28 09:06:00.000,1001,,,,,,,,,2019-08-28 09:19:35.346,2019-08-28 09:19:35.346,,1.5,,,,949.08,,37.45,,,,UTC+0300,lv82WtQZxZ,,,6d8467f2-2c87-4266-902d-660b05595e61.com.samsung.health.exercise.live_data.json,,1.3511804,com.sec.android.app.shealth,,,,2019-08-28 09:17:42.000,6d8467f2-2c87-4266-902d-660b05595e61,
,,,,1,,,,4,0,0,,,,,,,,,1072871,,,,2019-07-04 08:54:00.000,1001,,,,,,,,,2019-07-04 09:12:54.096,2019-07-04 09:12:54.096,,2.0277777,,,,1459.19,,57.29,,,,UTC+0900,lv82WtQZxZ,,,ffd501cd-649b-4063-b24c-6f5e9f2cc3ed.com.samsung.health.exercise.live_data.json,,1.3600796,com.sec.android.app.shealth,,,,2019-07-04 09:11:52.000,ffd501cd-649b-4063-b24c-6f5e9f2cc3ed,
,,,,1,,,,4,0,0,,,,,,,,,2467571,,,,2019-09-29 06:52:00.000,1001,,,,,,,,,2019-09-29 07:34:05.429,2019-09-29 07:34:05.429,,3.0,,,,2954.11,,117.68,,,,UTC+0300,lv82WtQZxZ,,,d1378f9b-935f-4012-b6ff-5e3676944859.com.samsung.health.exercise.live_data.json,,1.1971732,com.sec.android.app.shealth,,,,2019-09-29 07:33:07.000,d1378f9b-935f-4012-b6ff-5e3676944859,
,,,,1,,,,4,0,0,,,,,,,,,662609,,,,2019-09-24 09:58:00.000,1001,,,,,,,,,2019-09-24 10:09:02.653,2019-09-24 10:09:02.653,,2.0277777,,,,796.98,,31.39,,,,UTC+0300,lv82WtQZxZ,,,896132c4-169b-4b56-bf8f-c520b39f6ad8.com.samsung.health.exercise.live_data.json,,1.2027909,com.sec.android.app.shealth,,,,2019-09-24 10:09:02.000,896132c4-169b-4b56-bf8f-c520b39f6ad8,
,,,,1,,,,4,0,0,,,,,,,,,1297645,,,,2019-10-01 07:37:24.000,1001,,,,,,,,,2019-10-01 08:00:56.029,2019-10-01 08:00:56.029,,3.4444444,,,,1556.38,,61.69,,,,UTC+0300,lv82WtQZxZ,,,948421a4-529b-410f-bcb7-6302ae61278e.com.samsung.health.exercise.live_data.json,,1.1993881,com.sec.android.app.shealth,,,,2019-10-01 07:59:01.000,948421a4-529b-410f-bcb7-6302ae61278e,
