com.samsung.health.food_intake,6123001,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2019-02-25 16:00:00.000,1.0,,2019-02-25 16:02:54.147,2019-02-25 16:02:54.147,100003,,-1,889.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,6456b4ca-f887-4610-bcfc-73c7e9ec9aed,meal_auto_filled,
2019-02-22 06:00:00.000,1.0,,2019-02-22 06:01:57.870,2019-02-22 06:01:57.870,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,acfc7ab5-0c72-4f75-b0f4-62068d8db17a,meal_auto_filled,
2019-02-27 11:00:00.000,1.0,,2019-02-27 11:00:26.397,2019-02-27 11:00:26.397,100002,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,8e5be822-36a7-41df-a781-410b1b68137b,meal_auto_filled,
2019-03-01 11:00:00.000,1.0,,2019-03-01 11:03:00.486,2019-03-01 11:03:00.486,100002,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,0eaf42c8-8b50-4f68-a65b-1d26eea428db,meal_auto_filled,
2019-02-24 06:00:00.000,1.0,,2019-02-24 06:00:01.454,2019-02-24 06:00:01.454,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,6e21e697-fa2f-4136-8a4f-f13f9064d54c,meal_auto_filled,
2019-03-03 11:00:00.000,1.0,,2019-03-03 11:04:46.723,2019-03-03 11:04:46.723,100002,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,278d5cf8-0067-4556-a1cb-64b600844b59,meal_auto_filled,
2019-02-25 20:36:49.405,1.0,,2019-02-25 20:37:29.503,2019-02-25 20:37:29.503,100006,برينقلز,120001,1000.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c5fbbc09-ee73-492a-9ff0-aa3c940327d3,948faeb0-d632-403d-bb0c-19a6424ba1e0,
2019-02-27 16:00:00.000,1.0,,2019-02-27 16:00:45.512,2019-02-27 16:00:45.512,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,16c44a19-34ab-483a-a160-bbfdc838c92a,meal_auto_filled,
2019-02-02 16:00:00.000,1.0,,2019-02-02 16:00:30.502,2019-02-02 16:00:30.502,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c7ef1c48-4e3d-4d31-b23d-a5cf4e80026a,meal_auto_filled,
2019-03-01 16:00:00.000,1.0,,2019-03-01 16:00:35.506,2019-03-01 16:00:35.506,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,254e52d4-f448-47e6-91e9-9c349edf012c,meal_auto_filled,
2019-02-04 11:00:00.000,1.0,,2019-02-04 11:02:00.564,2019-02-04 11:02:00.564,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,ff823e4a-cbae-4060-9a57-a5bc280f6434,meal_auto_filled,
2019-02-06 11:00:00.000,1.0,,2019-02-06 11:02:32.590,2019-02-06 11:02:32.590,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,72fa144e-1a4d-40bc-bc4b-a6ff9b569039,meal_auto_filled,
2019-03-03 16:00:00.000,1.0,,2019-03-03 16:03:20.766,2019-03-03 16:03:20.766,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,e0a9aa9d-0493-4718-9b31-40b077c6108d,meal_auto_filled,
2019-02-08 11:00:00.000,1.0,,2019-02-08 11:02:48.631,2019-02-08 11:02:48.631,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,e7bc5954-410b-4007-9cb7-2b39d27117d5,meal_auto_filled,
2019-02-10 11:00:00.000,1.0,,2019-02-10 11:01:00.597,2019-02-10 11:01:00.597,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,431e4f73-22e8-4c88-90df-0492a07b97fc,meal_auto_filled,
2019-02-12 11:00:00.000,1.0,,2019-02-12 11:01:12.372,2019-02-12 11:01:12.372,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2f9b670e-3f9d-4c43-87e1-07099531c9df,meal_auto_filled,
2019-02-14 11:00:00.000,1.0,,2019-02-14 11:00:16.437,2019-02-14 11:00:16.437,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c1ad3414-bd25-41ff-8790-73d2f1520e1d,meal_auto_filled,
2019-02-16 11:00:00.000,1.0,,2019-02-16 11:02:12.570,2019-02-16 11:02:12.570,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,11798ac9-23a2-4faf-b0ed-897a667402fd,meal_auto_filled,
2019-02-18 11:00:00.000,1.0,,2019-02-18 11:01:08.621,2019-02-18 11:01:08.621,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,7b5fd50f-e56b-4f52-a323-44ad833bd70e,meal_auto_filled,
2019-02-20 11:00:00.000,1.0,,2019-02-20 11:00:22.040,2019-02-20 11:00:22.040,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c1451ef1-0b50-4c79-a3af-24b795c9b14a,meal_auto_filled,
2019-02-22 11:00:00.000,1.0,,2019-02-22 12:13:29.148,2019-02-22 12:13:29.148,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,955e53c3-8979-4ba8-a8f7-e0ca41b2ae59,meal_auto_filled,
2019-02-24 11:00:00.000,1.0,,2019-02-24 11:00:04.599,2019-02-24 11:00:04.599,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,a275d870-3c43-4a1e-8ba7-c99408791571,meal_auto_filled,
2019-02-26 06:00:00.000,1.0,,2019-02-26 06:00:28.624,2019-02-26 06:00:28.624,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c7dc5cbd-d2a9-4e37-a29e-b5c1d652782e,meal_auto_filled,
2019-02-28 06:00:00.000,1.0,,2019-02-28 06:00:37.897,2019-02-28 06:00:37.897,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,9fe66a13-1f51-46f0-b08c-ee6f2251b3d2,meal_auto_filled,
2019-03-02 06:00:00.000,1.0,,2019-03-02 06:04:00.502,2019-03-02 06:04:00.502,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,d4376976-81c3-4127-869c-52704c9dbe7e,meal_auto_filled,
2019-03-04 06:00:00.000,1.0,,2019-03-04 06:01:00.340,2019-03-04 06:01:00.340,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,ea64d987-072f-4837-ac94-c139172b8561,meal_auto_filled,
