com.samsung.health.water_intake,6123001,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.110,2019-06-07 00:59:09.110,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,70f6b009-6004-44b5-a896-8fceb6ccc4ac,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.107,2019-06-07 00:59:09.107,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,6cc688ff-eb77-41dd-9634-a71d45d3f5c3,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.107,2019-06-07 00:59:09.107,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,03e0a831-9092-41a5-b614-d1f5e073e793,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.109,2019-06-07 00:59:09.109,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,dcefc3ea-85ea-4a3e-a400-968898ca0ef0,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.191,2019-06-09 00:10:28.191,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,7eecd01a-efb3-4f2b-9c97-468528220f56,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.109,2019-06-07 00:59:09.109,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,a200ff93-fc9f-4200-8edd-1b093bc34244,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.109,2019-06-07 00:59:09.109,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,8caae4e6-8303-4d32-be0d-7594f06ce9ac,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.106,2019-06-07 00:59:09.106,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,5c346a27-0485-4978-853b-b4a265f6dff6,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.193,2019-06-09 00:10:28.193,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,0109cbf6-2ebf-421b-8533-d0296b711b21,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.189,2019-06-09 00:10:28.189,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,5da2c776-ba61-4bff-b70d-2ff6d4a5866a,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.193,2019-06-09 00:10:28.193,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,98d018ae-6219-4220-85b5-ab4065ab21bd,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.194,2019-06-09 00:10:28.194,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,aeb0f80f-d14f-4c5e-81e0-39f44cf13e24,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.108,2019-06-07 00:59:09.108,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,2ac15830-d23a-4b6c-9e7b-11f5ad9fba33,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.190,2019-06-09 00:10:28.190,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,46f0f5f4-a4f7-451d-9166-b3d61b69adc4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.193,2019-06-09 00:10:28.193,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,5f6e05bb-f589-4bae-975d-462713b974f0,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,d1e98c6e-3b88-463a-be5c-b2b34a613074,
2019-06-05 19:54:58.628,250.0,,2019-06-05 19:54:58.993,2019-06-05 19:54:58.993,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,590de743-2bf6-420e-8c2a-4f4291c164a3,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.110,2019-06-07 00:59:09.110,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,e61f624a-423d-4b45-a4cd-eef097bae472,
