com.samsung.shealth.report,6123001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Riyadh,1555880400000,2019-05-05 11:49:09.208,2019-04-29 13:00:59.350,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,cc53500e-e346-4d7d-9fea-de7cc321e572,cc53500e-e346-4d7d-9fea-de7cc321e572.compressed_content.json,
Asia/Riyadh,1593982800000,2020-07-13 11:52:23.916,2020-07-13 11:51:55.270,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,86970406-6667-4ee9-a8ba-18308f7b724b,86970406-6667-4ee9-a8ba-18308f7b724b.compressed_content.json,
Asia/Riyadh,1559509200000,2019-06-10 11:50:01.831,2019-06-10 11:49:43.455,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,087d24fb-61e5-4034-9aa0-d751ee36e638,087d24fb-61e5-4034-9aa0-d751ee36e638.compressed_content.json,
Asia/Riyadh,1597611600000,2020-08-24 11:49:16.502,2020-08-24 11:49:11.596,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,f1811d2e-1779-4cea-8d5f-f1179b84a3cd,f1811d2e-1779-4cea-8d5f-f1179b84a3cd.compressed_content.json,
Asia/Riyadh,1561928400000,2019-07-14 13:33:11.703,2019-07-09 10:52:32.546,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,79b87555-0421-4972-a613-294a825f9e2d,79b87555-0421-4972-a613-294a825f9e2d.compressed_content.json,
Asia/Riyadh,1601240400000,2020-10-05 11:49:12.548,2020-10-05 11:49:02.232,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,12d5d780-914d-42a9-bf7c-9cfc8b3f5739,12d5d780-914d-42a9-bf7c-9cfc8b3f5739.compressed_content.json,
Asia/Riyadh,1604869200000,2020-11-16 11:49:46.679,2020-11-16 11:49:13.064,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,cc340497-fd58-45c6-a406-539ba5dba140,cc340497-fd58-45c6-a406-539ba5dba140.compressed_content.json,
Asia/Riyadh,1565557200000,2019-08-25 11:48:58.017,2019-08-19 11:49:20.827,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,76cfa204-bb44-4fa8-8ac4-6c2f16c96110,76cfa204-bb44-4fa8-8ac4-6c2f16c96110.compressed_content.json,
Asia/Riyadh,1569186000000,2019-10-01 11:49:05.424,2019-09-30 11:49:15.284,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,f05ce188-d83c-4b78-8f8f-617148a920d5,f05ce188-d83c-4b78-8f8f-617148a920d5.compressed_content.json,
Asia/Riyadh,1572814800000,2019-11-11 11:49:04.119,2019-11-11 11:49:01.194,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,dad2ac76-b8b3-4617-88a8-784c3c074498,dad2ac76-b8b3-4617-88a8-784c3c074498.compressed_content.json,
