com.samsung.shealth.exercise.weather,6123001,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2019-06-19 07:47:47.371,34.660343,,,Sunny,0,1,WeatherNews_japan,2019-06-19 07:47:47.375,2019-06-19 07:47:47.375,1,135.50589,25.0,,UTC+0900,lv82WtQZxZ,e9eef90b-0834-418b-a2cc-7ccec0be2d40,com.sec.android.app.shealth,,0,,1,c7fb5fd4-835f-4398-af86-eb6be2efd82e,
,0,2019-09-05 07:55:00.950,24.72354,,SSE. 150,Fair,0,1,TWC,2019-09-05 07:55:00.952,2019-09-05 07:55:00.952,1,46.620026,42.0,11,UTC+0300,lv82WtQZxZ,915d7406-4ebd-4c6f-8255-d63e6a8de2a6,com.sec.android.app.shealth,km/h,0,10.0,1,02a44204-a3f3-4c8f-9647-aae6ee849af1,
,0,2019-09-08 07:47:43.342,24.72358,,NW. 320,Fair,0,1,TWC,2019-09-08 07:47:43.345,2019-09-08 07:47:43.345,1,46.620037,39.0,14,UTC+0300,lv82WtQZxZ,a8df8eab-3a94-4b19-8471-1ff846e5105e,com.sec.android.app.shealth,km/h,0,16.0,1,fafd16e0-3f0c-47d3-ae12-3074126f495e,
,0,2019-09-24 12:02:44.093,24.721947,,NNW. 340,Fair,0,1,TWC,2019-09-24 12:02:44.095,2019-09-24 12:02:44.095,1,46.6179,41.0,9,UTC+0300,lv82WtQZxZ,d13338dc-8a2b-47fb-9633-4fe6c88cce1a,com.sec.android.app.shealth,km/h,0,10.0,1,c5b1ef3a-22f1-4317-bad0-84a99c3ba121,
,0,2019-07-04 08:09:32.381,35.693474,,,Cloudy,0,1,WeatherNews_japan,2019-07-04 08:09:32.384,2019-07-04 08:09:32.384,1,139.6991,23.0,,UTC+0900,lv82WtQZxZ,e9371f92-2197-4ad1-aff8-47583c14d95b,com.sec.android.app.shealth,,0,,3,85b06b94-4798-4f2e-92dd-3433548a4f65,
,0,2019-10-08 08:47:44.006,24.723425,,ESE. 120,Fair,0,1,TWC,2019-10-08 08:47:44.011,2019-10-08 08:47:44.011,1,46.6196,34.0,33,UTC+0300,lv82WtQZxZ,d90cb549-2a14-41b4-90da-9916ad76c9e6,com.sec.android.app.shealth,km/h,0,18.0,1,f641a426-c41e-43df-80b5-ea78cb4ec9db,
,0,2019-09-29 08:49:57.732,24.723394,,ESE. 110,Fair,0,1,TWC,2019-09-29 08:49:57.748,2019-09-29 08:49:57.748,1,46.61979,39.0,18,UTC+0300,lv82WtQZxZ,dca15e65-5434-4c57-b6f9-002f8248dc41,com.sec.android.app.shealth,km/h,0,0.0,1,78712546-dd9f-4230-8d21-8aa4fce3c7a3,
,0,2019-07-26 04:35:55.088,24.699915,,N. 10,Fair,0,1,TWC,2019-07-26 04:35:55.092,2019-07-26 04:35:55.092,1,46.676582,34.0,13,UTC+0300,lv82WtQZxZ,db5ddf0c-36dd-412b-b328-26f8ca126a08,com.sec.android.app.shealth,km/h,0,5.0,1,517ef36e-b41a-4292-ab00-21a9ce48be31,
,0,2019-10-20 07:17:34.833,24.723484,,SSE. 150,Fair,0,1,TWC,2019-10-20 07:17:34.837,2019-10-20 07:17:34.837,1,46.61991,31.0,22,UTC+0300,lv82WtQZxZ,4da93d88-191f-4f29-9bae-a16dd87819a4,com.sec.android.app.shealth,km/h,0,18.0,1,6ca96c96-f2ae-4300-907b-69c095b445e5,
,0,2019-09-17 06:58:19.905,24.723152,,SSW. 200,Fair,0,1,TWC,2019-09-17 06:58:19.907,2019-09-17 06:58:19.907,1,46.61994,38.0,15,UTC+0300,lv82WtQZxZ,80ebcf36-75c8-4e82-9452-b30c1b4d9884,com.sec.android.app.shealth,km/h,0,10.0,1,fb3db0ef-3cae-4d09-8817-4366d3fabb72,
