com.samsung.shealth.calories_burned.details,6123001,1
version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,3d543979-05e4-4f06-bdc0-d4b27b32b61f.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.530,2019-01-28 21:12:42.288,0.0,lv82WtQZxZ,com.sec.android.app.shealth,3d543979-05e4-4f06-bdc0-d4b27b32b61f,1547510400000,
,7e7add40-307b-40d2-b60a-953f8c4fc943.extra_data.json,269.1,1526218,1850.9999,2019-02-02 21:00:01.523,2019-02-01 21:00:00.946,113.35,lv82WtQZxZ,com.sec.android.app.shealth,7e7add40-307b-40d2-b60a-953f8c4fc943,1549065600000,
,31378f15-2742-4efa-a8b9-e0b6183bc54d.extra_data.json,269.1,3078248,1817.1519,2019-02-08 21:01:01.074,2019-02-07 21:00:00.808,227.60995,lv82WtQZxZ,com.sec.android.app.shealth,31378f15-2742-4efa-a8b9-e0b6183bc54d,1549584000000,
,3de47e11-6032-484c-baff-5c6ff03c4e89.extra_data.json,269.1,4088533,1795.1187,2019-02-16 21:35:01.660,2019-02-13 21:00:00.586,288.49994,lv82WtQZxZ,com.sec.android.app.shealth,3de47e11-6032-484c-baff-5c6ff03c4e89,1550102400000,
,ef5424f5-0bcc-46aa-8223-da07950bc02d.extra_data.json,264.4,2797461,1784.3857,2019-02-20 21:00:04.287,2019-02-19 21:00:00.636,194.07996,lv82WtQZxZ,com.sec.android.app.shealth,ef5424f5-0bcc-46aa-8223-da07950bc02d,1550620800000,
,48853a14-e821-4fb4-a492-5ff68337762a.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.568,2019-01-28 21:12:42.417,0.0,lv82WtQZxZ,com.sec.android.app.shealth,48853a14-e821-4fb4-a492-5ff68337762a,1547856000000,
,352e0f1d-bae6-459e-bf42-b9fa74338395.extra_data.json,0.0,0,1844.0939,2019-02-19 09:31:40.897,2019-01-28 21:12:42.612,0.0,lv82WtQZxZ,com.sec.android.app.shealth,352e0f1d-bae6-459e-bf42-b9fa74338395,1548374400000,
,100774c2-90e5-4816-a6d3-8a68716975e6.extra_data.json,253.90001,4124432,1781.5784,2019-02-26 21:00:01.017,2019-02-25 21:00:00.512,278.5001,lv82WtQZxZ,com.sec.android.app.shealth,100774c2-90e5-4816-a6d3-8a68716975e6,1551139200000,
,dd646c68-535b-4bb6-8c56-9f2f883efff8.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.587,2019-01-28 21:12:42.493,0.0,lv82WtQZxZ,com.sec.android.app.shealth,dd646c68-535b-4bb6-8c56-9f2f883efff8,1548028800000,
,c99604d9-d668-40a5-bf2d-99faf776dd9c.extra_data.json,253.90001,3777209,1789.097,2019-03-05 02:04:50.247,2019-03-03 21:00:00.647,253.11003,lv82WtQZxZ,com.sec.android.app.shealth,c99604d9-d668-40a5-bf2d-99faf776dd9c,1551657600000,
