com.samsung.shealth.activity.day_summary,6123001,1
step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,0,2019-01-28 21:12:41.065,2019-01-28 21:12:41.065,-1,0,0,0.0,0.0,9074afb1-e9ed-4316-bab5-9c0467406ea8.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,9074afb1-e9ed-4316-bab5-9c0467406ea8,1547078400000,
8222,5184374,0,2019-03-11 20:35:00.364,2019-03-10 21:00:00.728,60,300000,141,6378.869,357.3899,62f8055d-bc65-4f59-8eb5-f2cf72a840f4.extra_data.json,lv82WtQZxZ,28000,com.sec.android.app.shealth,5156374,10020000,62f8055d-bc65-4f59-8eb5-f2cf72a840f4,1552262400000,
3063,2016054,0,2019-03-09 21:00:01.127,2019-03-08 21:00:00.792,60,52421,53,2482.7808,147.12999,caeb4b3b-293b-40c2-8881-a57274bfb2f8.extra_data.json,lv82WtQZxZ,40400,com.sec.android.app.shealth,1975654,27660000,caeb4b3b-293b-40c2-8881-a57274bfb2f8,1552089600000,
5726,3623731,0,2019-03-22 20:59:34.759,2019-03-21 21:00:00.752,60,360000,98,4536.741,256.42,40148cfa-29ff-43a0-9400-172bca63379e.extra_data.json,lv82WtQZxZ,33600,com.sec.android.app.shealth,3590131,18360000,40148cfa-29ff-43a0-9400-172bca63379e,1553212800000,
0,0,0,2019-01-28 21:12:41.296,2019-01-28 21:12:41.296,-1,0,0,0.0,0.0,10bfd81a-ea5d-4cfd-ae82-c97d23ae06da.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,10bfd81a-ea5d-4cfd-ae82-c97d23ae06da,1547596800000,
5124,3303086,0,2019-03-24 04:08:39.023,2019-03-16 21:00:01.556,60,240000,90,3959.679,227.18002,70e69307-0c7c-4b06-b18e-291b0d67791f.extra_data.json,lv82WtQZxZ,23200,com.sec.android.app.shealth,3279886,18360000,70e69307-0c7c-4b06-b18e-291b0d67791f,1552780800000,
5282,3338017,0,2019-03-15 21:00:01.793,2019-03-14 21:00:00.523,60,360000,91,4214.9097,238.16988,e575ef68-1e8b-4a89-bc5e-d63fc72e3af3.extra_data.json,lv82WtQZxZ,36320,com.sec.android.app.shealth,3301697,23580000,e575ef68-1e8b-4a89-bc5e-d63fc72e3af3,1552608000000,
0,0,0,2019-01-28 21:12:41.519,2019-01-28 21:12:41.519,-1,0,0,0.0,0.0,daae12a9-21bc-4963-aeea-e6966ba04aac.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,daae12a9-21bc-4963-aeea-e6966ba04aac,1548115200000,
8736,5547703,0,2019-03-30 23:40:14.392,2019-03-27 21:00:00.917,60,300000,151,6813.759,392.38998,2c21c7e6-79ae-432a-ba93-0dc8226f9557.extra_data.json,lv82WtQZxZ,106400,com.sec.android.app.shealth,5441303,17280000,2c21c7e6-79ae-432a-ba93-0dc8226f9557,1553731200000,
7347,4596584,0,2019-03-24 04:08:39.875,2019-03-20 21:00:00.553,60,360000,126,5642.629,314.11,29c751a4-9d12-47fd-a7ff-252be87e1434.extra_data.json,lv82WtQZxZ,27200,com.sec.android.app.shealth,4569384,20340000,29c751a4-9d12-47fd-a7ff-252be87e1434,1553126400000,
0,0,0,2019-01-28 21:12:41.745,2019-01-28 21:12:41.745,-1,0,0,0.0,0.0,152f1824-a7c6-4afe-bc3b-7e2c1cca9a35.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,152f1824-a7c6-4afe-bc3b-7e2c1cca9a35,1548633600000,
2988,1965228,0,2019-03-23 21:00:00.811,2019-03-22 21:00:00.520,60,60000,53,2422.5903,141.33,398df6fa-07fc-4ea4-b412-d91611205282.extra_data.json,lv82WtQZxZ,41600,com.sec.android.app.shealth,1923628,27240000,398df6fa-07fc-4ea4-b412-d91611205282,1553299200000,
2544,1675755,0,2019-03-27 19:43:41.618,2019-03-26 21:00:01.754,60,60000,45,2058.06,120.80997,46033ae1-e045-49a8-98a0-37597c97ec1f.extra_data.json,lv82WtQZxZ,31600,com.sec.android.app.shealth,1644155,25200000,46033ae1-e045-49a8-98a0-37597c97ec1f,1553644800000,
