com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
8337,91527807-e7a5-45b0-a981-1dcbe95f4618.binning_data.json,4332641,4500,170,2019-02-19 21:00:02.375,com.sec.android.app.shealth,2019-02-19 21:00:02.375,,6.9444447,6510.6704,361.88995,8167,lv82WtQZxZ,com.sec.android.app.shealth,0,91527807-e7a5-45b0-a981-1dcbe95f4618.achievement.json,91527807-e7a5-45b0-a981-1dcbe95f4618,1550534400000,
6484,3b677437-8994-4b60-8aa9-8c2194e4912a.binning_data.json,3458684,4500,117,2019-02-17 21:00:08.726,com.sec.android.app.shealth,2019-02-13 21:01:28.374,3b677437-8994-4b60-8aa9-8c2194e4912a.source_info.json,1.4490626,5011.85,288.49997,6367,VfS0qUERdZ,com.sec.android.app.shealth,0,3b677437-8994-4b60-8aa9-8c2194e4912a.achievement.json,3b677437-8994-4b60-8aa9-8c2194e4912a,1550102400000,
4488,d6d8981d-c52d-42e1-bf34-2d66519b3f4f.binning_data.json,2263452,4500,56,2019-02-20 21:00:11.985,com.sec.android.app.shealth,2019-02-20 21:00:11.985,,5.5277777,3532.12,194.07999,4432,lv82WtQZxZ,com.sec.android.app.shealth,0,d6d8981d-c52d-42e1-bf34-2d66519b3f4f.achievement.json,d6d8981d-c52d-42e1-bf34-2d66519b3f4f,1550620800000,
4302,28a634b2-6529-4b4e-b3d8-5cbf996b3c9b.binning_data.json,2139946,4500,114,2019-02-13 21:00:08.216,com.sec.android.app.shealth,2019-02-12 22:14:32.406,28a634b2-6529-4b4e-b3d8-5cbf996b3c9b.source_info.json,1.6063112,3437.42,198.04999,4188,VfS0qUERdZ,com.sec.android.app.shealth,0,28a634b2-6529-4b4e-b3d8-5cbf996b3c9b.achievement.json,28a634b2-6529-4b4e-b3d8-5cbf996b3c9b,1550016000000,
1307,971e9566-b766-4cd9-91c7-86488f796361.binning_data.json,670327,4500,36,2019-02-22 21:00:03.042,com.sec.android.app.shealth,2019-02-22 21:00:03.042,,4.0833335,1059.26,61.28,1271,lv82WtQZxZ,com.sec.android.app.shealth,0,971e9566-b766-4cd9-91c7-86488f796361.achievement.json,971e9566-b766-4cd9-91c7-86488f796361,1550793600000,
3343,eebbf591-b443-462d-96ee-fd4e354b7816.binning_data.json,1716742,4500,61,2019-02-23 21:00:06.083,com.sec.android.app.shealth,2019-02-23 21:00:06.083,,6.9444447,2684.03,155.81999,3282,lv82WtQZxZ,com.sec.android.app.shealth,0,eebbf591-b443-462d-96ee-fd4e354b7816.achievement.json,eebbf591-b443-462d-96ee-fd4e354b7816,1550880000000,
6021,f35f0ec1-70f8-4e06-addf-3903d25dd960.binning_data.json,3183353,4500,70,2019-02-17 20:46:24.533,com.sec.android.app.shealth,2019-02-16 21:14:01.573,f35f0ec1-70f8-4e06-addf-3903d25dd960.source_info.json,1.4668555,4669.52,264.09,5951,VfS0qUERdZ,com.sec.android.app.shealth,0,f35f0ec1-70f8-4e06-addf-3903d25dd960.achievement.json,f35f0ec1-70f8-4e06-addf-3903d25dd960,1550361600000,
8157,be54066a-b080-4816-a711-97636df8a037.binning_data.json,4224899,4500,163,2019-02-02 21:00:05.531,com.sec.android.app.shealth,2019-01-30 21:00:02.602,be54066a-b080-4816-a711-97636df8a037.source_info.json,1.518682,6416.2803,368.18997,7994,VfS0qUERdZ,com.sec.android.app.shealth,0,be54066a-b080-4816-a711-97636df8a037.achievement.json,be54066a-b080-4816-a711-97636df8a037,1548892800000,
8153,649e0750-df1a-48de-bddb-c3326a85bd86.binning_data.json,4306344,4500,79,2019-02-25 21:00:03.500,com.sec.android.app.shealth,2019-02-25 21:00:03.500,,6.944445,6345.36,353.31,8074,lv82WtQZxZ,com.sec.android.app.shealth,0,649e0750-df1a-48de-bddb-c3326a85bd86.achievement.json,649e0750-df1a-48de-bddb-c3326a85bd86,1551052800000,
6506,35390c82-9f4a-4727-b5ef-a812000833b8.binning_data.json,3516249,4500,38,2019-02-26 21:00:02.649,com.sec.android.app.shealth,2019-02-26 21:00:02.649,,4.6666665,5006.0,278.49997,6468,lv82WtQZxZ,com.sec.android.app.shealth,0,35390c82-9f4a-4727-b5ef-a812000833b8.achievement.json,35390c82-9f4a-4727-b5ef-a812000833b8,1551139200000,
