com.samsung.shealth.tracker.pedometer_step_count,6123001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
11271,4,1,19,2020-11-07 06:23:00.000,,,2020-11-07 06:34:59.242,2020-11-07 06:34:59.242,20,1.5277778,17.22,1.03,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 06:24:00.000,3697f1f2-f84f-439b-a8a8-36fbb113f12a,
3723,4,0,7,2020-11-07 05:54:00.000,,,2020-11-07 05:54:15.198,2020-11-07 05:54:14.461,7,1.4557778,5.42,0.28,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 05:55:00.000,a3a0f48c-22d5-44d8-97b0-d708eca73d63,
16747,4,0,36,2020-11-07 09:11:00.000,,,2020-11-07 09:11:40.754,2020-11-07 09:11:18.525,36,1.6682972,27.939999,1.4200002,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:12:00.000,dc723f49-48ec-426d-871c-d345f8fdc1b5,
2049,4,0,4,2020-11-07 11:51:00.000,,,2020-11-07 11:51:01.862,2020-11-07 11:51:00.315,4,1.4930036,3.06,0.16,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 11:52:00.000,582a8fb8-7569-4cdd-9610-f727878676d7,
3204,4,0,7,2020-11-07 09:44:00.000,,,2020-11-07 09:44:21.168,2020-11-07 09:44:21.168,7,1.6666666,5.34,0.29,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:45:00.000,57138672-001c-410c-9cd8-03e47bad1d79,
17628,4,0,33,2020-11-07 09:25:00.000,,,2020-11-07 09:26:15.389,2020-11-07 09:25:22.589,33,1.4153126,24.95,1.33,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:26:00.000,e9946707-a09a-4958-b398-5b84c2983255,
3718,4,0,8,2020-11-07 09:27:00.000,,,2020-11-07 09:28:30.486,2020-11-07 09:28:30.486,8,1.6944444,6.3,0.33,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:28:00.000,3a6fb35b-7393-4156-92cb-23051f03771d,
19913,4,3,35,2020-11-07 12:05:00.000,,,2020-11-07 12:08:05.792,2020-11-07 12:08:05.792,38,1.5,29.87,1.71,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 12:06:00.000,509cec62-07d1-45a3-bf22-eb199287e32d,
32971,4,6,67,2020-11-07 10:13:00.000,,,2020-11-07 10:13:52.302,2020-11-07 10:13:35.961,73,1.7812114,58.73,3.2999995,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:14:00.000,b39510f2-7b31-466d-9c0e-f32fd31e3d8a,
2778,4,0,7,2020-11-07 13:38:00.000,,,2020-11-07 13:42:51.449,2020-11-07 13:42:51.449,7,1.9722222,5.48,0.28,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 13:39:00.000,65c3e7f7-1a34-465f-9427-963eb583c9c1,
2674,4,0,6,2020-11-07 10:41:00.000,,,2020-11-07 10:41:21.152,2020-11-07 10:41:21.152,6,1.7499999,4.68,0.24,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:42:00.000,75cdf03e-1ff4-4ea5-9aad-429449ef1fab,
5420,4,1,10,2020-11-07 10:23:00.000,,,2020-11-07 10:24:34.249,2020-11-07 10:24:34.249,11,1.9166666,10.39,0.78,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:24:00.000,93267273-a99a-4246-b736-58fe4cc1ab2f,
9990,4,0,25,2020-11-07 14:22:00.000,,,2020-11-07 14:31:49.486,2020-11-07 14:31:49.486,25,2.0,19.98,0.99,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:23:00.000,9f83f8f4-be67-4a42-b791-b071793b1a4c,
16920,4,0,35,2020-11-07 10:12:00.000,,,2020-11-07 10:13:35.842,2020-11-07 10:13:35.842,35,1.6111112,27.26,1.41,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:13:00.000,2ad954b4-1bec-4399-903a-36e02769b528,
29050,4,0,52,2020-11-07 11:59:00.000,,,2020-11-07 12:00:40.354,2020-11-07 11:59:45.401,52,1.3490481,39.18999,2.1099997,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 12:00:00.000,39f42e48-0e95-4cea-b939-8d0fbfa8c9f6,
6733,4,0,10,2020-11-07 14:45:00.000,,,2020-11-07 14:45:06.691,2020-11-07 14:45:04.015,10,1.0871817,7.3199997,0.40999997,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:46:00.000,646101be-6147-4bc1-ad33-c9cd66ba24c7,
9883,4,0,14,2020-11-07 13:18:00.000,,,2020-11-07 13:18:21.721,2020-11-07 13:18:17.640,14,1.0026683,9.91,0.58,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 13:19:00.000,56c5fb89-143a-4d2d-9836-144fc517d63a,
1675,4,0,4,2020-11-07 15:37:00.000,,,2020-11-07 15:37:02.111,2020-11-07 15:37:00.378,4,1.9275692,3.23,0.16,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 15:38:00.000,9aa62d3a-b0af-4fe9-b8b4-6677bf3e6fa2,
4415,4,0,9,2020-11-07 10:25:00.000,,,2020-11-07 10:25:47.207,2020-11-07 10:25:01.367,9,1.5241649,6.7299995,0.36999997,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:26:00.000,e2042521-1a70-4446-8d38-fa5264c4c9f8,
30411,4,0,59,2020-11-07 11:50:00.000,,,2020-11-07 11:51:00.178,2020-11-07 11:50:13.627,59,1.4754126,44.870007,2.3799996,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 11:51:00.000,dcb53752-62cd-4dc2-b95a-b36e71342a10,
